original,translated
"-rek, please recommend a boarding house in the lontar area, if there is a price, yes. looking for it at mamikos is not comfortable, ehehe, thank you","Ê bạn ơi, cho mình xin vài gợi ý nhà trọ khu Lontar xem, có giá cả càng tốt nha. Tìm trên Mamikos thấy khó chịu quá, hehe, cảm ơn nhé!"
"His name has a new life, I really don't want to ride with my parents or in-laws... let me be independent hehehe","Tên anh ấy giờ có ý nghĩa khác rồi,  mình thực sự không muốn đi chung với bố mẹ hay họ hàng… để mình tự lập đi hehehe"
Egg is good,Trứng rất tốt.
We love messi & maradona,Chúng tôi yêu Messi và Maradona.
"Minal aidzin walfaidzin, please make it Halalin, don't play with it","Chúc mừng năm mới, làm ơn hãy làm cho nó halal, đừng chơi đùa với nó."
have you had breakfast yet?,Anh/Chị đã ăn sáng chưa?
Morning '•. What scorpion partner? Yup that's right he is a scorpion queen °,"Chào buổi sáng!  Đó là bạn đời của anh ấy à? Đúng rồi, đó là một nữ hoàng bọ cạp."
"â kebo kebo what makes you tired? No need to answer right away, let's be mutual hayukkk -ava jaemin","Ê kẹo kẹo, sao lại mệt thế? Không cần trả lời ngay đâu, mình cùng nhau nha - Ava Jaemin."
"Seeing the sunny weather this morning after it rained for 4 days, mothers were excited to take out the laundry and take action, after that they smiled with relief looking at the clothesline in the hot sun and ""Let's sunbathe"" don't get vitamin D deficiency the cost of treating covid is ""expensive"" he said ðŸ ❤","Mấy bà mẹ mừng rỡ vội vã phơi đồ dưới nắng vàng rực rỡ sau bốn ngày mưa tầm tã, rồi nhìn chùm quần áo phơi ngoài nắng ấm, tươi cười nhẹ nhõm: ""Phơi nắng lấy vitamin D thôi, mắc Covid tốn kém lắm!"""
"Alhamdulillah, this year I feel like Eid with my family again","Cảm ơn Chúa, năm nay tôi lại được đón lễ Eid cùng gia đình."
"I was told by my aunt to persuade her child to enter the department she wanted.... Well, auntie, it didn't work, how about me :(","Dì bảo tôi thuyết phục con dì vào khoa dì muốn… thôi thì dì ơi, không được, giờ thì sao đây :("
"Never met but dream of holding hands, you're stupid ™ƒ","Chưa từng gặp nhưng mơ ước được nắm tay, đồ ngốc."
"I didn't wake up, I was a bit surprised to see the clock I thought it was 8 o'clock, apparently it's still 7 o'clock and ended up dizzy and unsteady ™ƒ. I do have low blood pressure","Tôi không tỉnh hẳn, giật mình khi thấy đồng hồ mới 7 giờ chứ không phải 8 giờ như tôi tưởng, thế là hoa mắt chóng mặt, chắc do huyết áp thấp."
"If he doesn't want it, then you don't have to force it",Nếu anh ấy không muốn thì thôi.
Kde dil de Warke fol ve utte. Mera naan ta nhi likhya.Kde dil de Warke fol â â,"Tim tôi tan nát, rã rời. Tên tôi không được viết lên đó. Tim tôi tan nát, rã rời."
"if there was a man who said to me like this: ""I'm ready to wait for you until your education is finished"".. sksk how happy my heart is","Nếu có người nói với tôi rằng: ""Anh sẵn sàng đợi em đến khi em học xong"", trời ơi tim mình vui quá!"
morning,Sáng rồi.
Hope is a good thing may be the best of things and no good thing ever dies,"Hy vọng là điều tốt đẹp, có lẽ là điều tốt đẹp nhất, và chẳng điều tốt đẹp nào chết đi được."
Aaaaa turn on with guy who is good at cooking ° can you be my husband? Ha ha,Ước gì có anh chàng khéo nấu ăn làm chồng mình nhỉ!  Haha
let's clean up first so we can relax later in the afternoon '‹,Dọn dẹp xong rồi chiều mình chơi cho đã nhé!
Purple has not been used since the green-green merger.,"Từ khi sáp nhập với công ty Xanh Xanh, màu tím đã không được dùng nữa."
come back,Trở lại đi.
Who here has 100% exchanged to Telegram instead of using WhatsApp. Anyone?,Ai ở đây đã chuyển hoàn toàn sang Telegram thay vì dùng WhatsApp rồi?
Selfie competition keeps you sleepy ad nd y,Cuộc thi chụp ảnh tự sướng làm bạn buồn ngủ lắm.
those who have memes are tight for dong,Có meme thì tiền eo hẹp.
Oh ho I got scolarship,"Ôi trời, tớ được học bổng rồi!"
"Listening to fengding, even onmic asw","Nghe nhạc Phụng Đình, dù chỉ qua loa cũng thấy hay."
I don't understand this world.. the old t-shirts are used as crop tops,Tôi không hiểu nổi thế giới này... áo phông cũ lại được dùng làm áo crop top.
OH GOD JONGIN HOW IS IT MORE CUTE BESTIE,"Ôi trời Jong In, sao mà dễ thương thế này bestie!"
I got GPA 5.00,Tôi đạt điểm trung bình 5.00.
"Excuse me, can the green account please tag me? thanks in advanceðŸ¥ºðŸ'—..#zonauang #zonaba","Chào bạn, tài khoản màu xanh lá cây cho mình xin tag với được không? Cảm ơn trước nha! 💚🙏 #zonauang #zonaba"
"Geology is bad, bro?",Địa chất học chán lắm hả bạn?
"I'm excited to buy glass from outside the city.. There's a guarantee, but it's still slow when you have to switch goods. Easy safe","Mình rất hào hứng được mua kính ở ngoài thành phố, dù có bảo hành nhưng đổi trả vẫn lâu, may mà an toàn."
"solo booth, it's better if you all go far away sis","Em ở trong phòng thu riêng, tốt nhất là mọi người tránh xa một chút nhé chị."
"pen comment: that's a lot of pretentious effort dr 0, blah blah blah. until now, the work is not clear. But after being bullied by netizens, there are many who are fans of him. later we say boomer, the job is pi en ice...","Bác sĩ 0 bày đặt lắm chuyện, nói mãi mà vẫn chẳng rõ ràng gì cả; nhưng sau khi bị dân mạng ném đá thì lại nổi tiếng, cuối cùng thì công việc cũng xong xuôi."
Oh very. Tired right.,Mệt quá!
Pls comeback after announcement sbm dong,Vui lòng quay lại sau khi có thông báo về sự kiện SBM nhé.
"The most adorable tele bot, bot just to deliver food, bye already","Chào tạm biệt nha, bot giao đồ ăn dễ thương nhất quả đất!"
I'm really proud of you and dreamies it gives me goosebumps â˜,"Tớ tự hào về cậu và Dreamies lắm, nổi da gà luôn!"
"hello help tag this account, this sick account","Chào, giúp tôi báo cáo tài khoản bệnh hoạn này!"
"When will I have my own business at home, not working with people now. What's on hold","Bao giờ tôi mới có được công việc riêng tại nhà, không phải làm việc với ai nữa?  Chuyện gì đang bị trì hoãn vậy?"
keep chasing until you die :),Cứ đuổi theo đến hơi thở cuối cùng!
"Trying to experiment again.. if you deact red account, it will be green or not ”","Thử lại xem sao… nếu tắt tài khoản đỏ, liệu nó có chuyển thành xanh không?"
"Bismillah, I'm doing an order for 150pcs burgers for tonight, tomorrow 70pcs, Wednesday 100pcs. smooth, good luck amen","Thưa Chúa, con đặt 150 phần bánh mì kẹp thịt cho tối nay, mai 70 phần, thứ Tư 100 phần. Mong mọi việc thuận lợi, xin Chúa phù hộ."
"â are we mutual? Ava, I'm Jeno, just like it","Ava, mình là Jeno, mình cũng thích cậu đấy."
"Seriously, I'm really sleepy. but i miss him","Thật sự là buồn ngủ lắm rồi, nhưng nhớ anh ấy quá."
JYP MURIO?,JYP mất rồi à?
Eh.. When was the last time [BP] came to MAMA?,Ơ… Lần cuối cùng [BP] đến MAMA là khi nào nhỉ?
"Mas, the bus is really fast, wooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooood","Trời ơi, xe buýt chạy nhanh quá!"
Hopefully Renjun will update at night so I don't miss it,Mong là tối nay Renjun sẽ cập nhật để mình không bỏ lỡ.
"There is a feeling of wanting to be able to bring a pickup so that if you buy a lot, you don't go back and forth. My little car is so sad it's full of stuff","Ôi ước gì có chiếc xe bán tải, mua nhiều đồ thế này không phải đi đi về về cho mệt, xe con bé tí của mình chật cứng rồi."
"Waiting for 5 years paid in full, no credit '","Đợi 5 năm, trả hết tiền mặt, không cần trả góp."
"I suddenly want a self reward by giving hampers to the big YL, hm",Tự nhiên thèm muốn tự thưởng cho mình bằng cách tặng giỏ quà cho YL lớn nhỉ.
Don't come only when NEEDED. I am not GOD.,"Đừng chỉ đến khi cần, tôi không phải là Thượng đế."
ni-ki brilliant,Tuyệt vời!
"In the middle of carrying out a large stock transaction in the toilet, forgot to turn on the water option above. ..Soo this what i called ..Yup Im in this shit situation","Đang giữa lúc thực hiện giao dịch chứng khoán lớn trong nhà vệ sinh, quên bật chế độ xả nước… Thế này là… đúng là tôi đang gặp rắc rối to rồi."
Happy and sunny Monday °,Thứ Hai tươi vui và nắng ấm!
"""It's up to you what moves you have, but if you just stay silent, it's the same as you don't have a dream"" (naruto)","Tùy bạn muốn làm gì, nhưng nếu cứ im lặng thì cũng như là bạn chẳng có ước mơ nào cả."
"I'm looking at the advice again, it's really cool, the music is really modern","Tôi đang xem lại lời khuyên này, hay thật đấy, nhạc cũng hiện đại nữa."
don't expect too much sis,Đừng mong chờ quá nhiều nha chị.
I'm the one who doesn't understand????,Tôi là người không hiểu à???
Oh.. denied by pledis,Ôi… bị Pledis từ chối rồi.
The face cannot be compromised,Không thể để lộ mặt.
"I'm so proud, oh my God, thank you dreamies for fighting until now 'š","Trời ơi, mình tự hào quá, cảm ơn các dreamies đã kiên trì chiến đấu đến giờ!"
Boss are good,Sếp tốt.
"My brother, Sonu, is the new owner","Anh trai tôi, Sonu, giờ là chủ mới."
What color is the theme for your raya clothes?..Me: brown :D,Mấy bộ áo Raya của cậu tông màu gì thế?..Tớ: Nâu :D
when you want this wednesday,Hôm thứ Tư này được không?
jyp la ripeo?,Giờ ăn trưa chưa?
tired of being hung by feelings that I shouldn't expect from him because he never expected me to come back,"Mệt mỏi vì cứ phải dằn vặt bởi những tình cảm mình không nên dành cho anh ấy, bởi anh ấy chưa bao giờ mong mình quay lại."
"I'm lazy for raya, I don't even buy raya clothes. There are no members here, I don't even know who they are. It's not going anywhere. Look at the man's face. but man I ordered the raya menu like I wanted to make an open house yoooo","Lười quá chả thèm sắm đồ Raya, nhìn mặt mấy đứa trong nhóm chả biết ai là ai, việc gì cũng chả đâu vào đâu cả.  Nhưng mà tui đặt menu Raya như kiểu sắp làm open house ấy chứ!"
Want to look for mutual blink only or mulfand but mostly blink. Just like or rt yaa,"Muốn tìm người cùng thả tim thôi hay thả tim nhiều hơn, chủ yếu thả tim ấy, thích thì thả tim hoặc retweet nha."
"once again said fierce. google, how to be not fierce? “","Lại dữ nữa rồi, Google ơi, làm sao để không dữ nữa đây?"
"The Governor of East Java expressed his appreciation, bcoz the Regent for conveying in detail. Today the agricultural sector really needs to adapt to agricultural technology as well as the fisheries sector","Thống đốc Đông Java bày tỏ sự đánh giá cao vì ngài Huyện trưởng đã trình bày chi tiết; hiện nay, nông nghiệp và ngư nghiệp cần phải thích ứng mạnh mẽ với công nghệ."
good morning the world's tricks~,Chào buổi sáng thế giới gian xảo!
Ride across to the side. I'm handsome and kind :v,"Cứ cưỡi ngựa sang bên kia đi, anh đẹp trai và tốt bụng mà :v"
better pc memberkit or grid?,"PC MemberKit hay Grid, cái nào tốt hơn?"
"Btw nax amicu who helped me try to rep here. My account stinks, so it's not logged in..Especially if your account isn't logged in either:' that's so sexiest(tormented)~ how poor):","Bạn thân giúp mình đăng nhập lại đây, tài khoản mình tệ quá nên không vào được… nhất là tài khoản bạn cũng không đăng nhập được nữa thì đúng là thảm họa, khổ quá!"
"jeongwoo's nosebleed, I'm so cranky that I can't sleep.... my gosh...",Máu cam của Jeongwoo làm mình khó chịu đến nỗi không ngủ được… trời ơi…
"""cover jjk 16 if not naoya, yuuta deh"".. Akutami: *proceed to draw my kenjaku*",Nếu không phải Naoya hay Yuuta thì ai sẽ cover JJK 16 đây… Akutami: *liền tay vẽ Kenjaku*.
"Alhamdulillah, O Allah, kasa ibadan mu karbabbiya ce ™","Tạ ơn Chúa, lạy Chúa, xin cho đời chúng con được thanh sạch."
"Liam, when he's in trouble, his job is to tease Rav... But when he's like this, he listens to a spiritual song.","Liam gặp rắc rối thì trêu chọc Rav, nhưng lúc này anh lại nghe nhạc tâm linh."
Innalillahhh look for mutual just flop ©,"Ôi trời ơi, tìm ai đó cùng làm việc cho vui thôi."
Aaaaaaaa we're talking jerr. Don't be serious,"Ôi trời ơi, đùa tí thôi mà, đừng nghiêm trọng thế!"
"AFK FOR A LIFE, THERE'S A JAPANESE LANGUAGE EXAMINATION. COULD FORGET #DIE","Đi thi tiếng Nhật cả đời, quên mất rồi chết luôn!"
It's a shame that people trade in the bazaar.,"Tiếc thay, người ta lại buôn bán ở chợ trời."
ml! picjen does anyone want to play? -4 here,Mấy bạn ơi! Chơi Picjen không?  Bốn người đây rồi!
"JJK vol 16, coverny geto anboksing head contents","Đập hộp tập 16 Jujutsu Kaisen, lộ mặt Gojo."
are you safe?,Bạn có an toàn không?
in progress..Bismillah ™ ™ ™,Đang thực hiện...Nhờ ơn Chúa.
watdafak,Trời ơi!
I can't want to tweet that I'm very respectable because there are people stalking,Tôi không dám tweet rằng mình rất đàng hoàng vì có người đang theo dõi.
At the age of 25 is very important :..1. Don't listen to what you don't need to hear.2. Don't see what you don't need to see.3. Don't talk if it's not important.4. Don't find out what makes you hurt,"25 tuổi, điều quan trọng là: đừng nghe những điều không cần thiết, đừng nhìn những điều không cần thiết, đừng nói nếu không quan trọng, và đừng tìm hiểu những điều làm bạn tổn thương."
"It's a lot of fun, my tweet just now is soooooooooooooooooooooooooooooooooooooooooooooood","Tuyệt thật, tweet của mình vừa rồi hay dã man!"
I'm so dizzy,Tôi chóng mặt quá.
"My love for you, no matter how far or near, if Allah has determined that you are mine and you love me to death, I will love you forever","Dù xa dù gần, nếu định mệnh cho em là của anh và em yêu anh đến chết, anh sẽ yêu em mãi mãi."
Yakari Yakari,Ya-ka-ri ơi!
Dino is squished,Dino bị bẹp dí.
Where do you buy fireworks? Want to play fireworks at night takbiran,Bạn mua pháo bông ở đâu vậy? Muốn cùng nhau chơi pháo bông đêm giao thừa nhé?
"Even though my history is Mulfand from 2010, but if the situation is 3 groups that you like to be in Top social artist... aren't you drunk? £. Right now I can only focus on 1 group... from 2018 too gt",Dù tôi theo dõi Mulfand từ 2010 nhưng nếu tình hình là 3 nhóm mà bạn muốn lọt top nghệ sĩ xã hội… thì bạn có say không?  Giờ tôi chỉ tập trung được vào 1 nhóm thôi… từ 2018 nữa.
"I feel more work after WFH. Understandably, the first time the office was allowed to do WFH :)","Làm việc ở nhà xong lại thấy còn nhiều việc hơn nữa.  Hiểu rồi, lần đầu được làm việc ở nhà mà :)"
"Yes, I'm trying to be cool. I don't even open artist accounts. Then there's the family, besan, sending stories atta aurel. Chillman. I cry. Luckily I'm not fasting, can I swear?","Ừ, tớ đang cố tỏ ra bình tĩnh đấy, tớ còn chẳng mở tài khoản nghệ sĩ nữa là. Mà lại còn gia đình, họ hàng, suốt ngày gửi đủ thứ chuyện linh tinh, bực mình muốn chết! Khóc thôi. May mà không đang nhịn ăn, không thì…chết cha!"
"After bubbling a lot, are you safe?","Sôi sùng sục thế này rồi, ổn chứ?"
Receive THR via shopepay <3,Nhận thưởng Tết qua ShopeePay ❤️
"Make a problem with PDD, please, during an online event for LPJðŸ˜ðŸ˜, how come it's not there?","Trong sự kiện trực tuyến cho LPJ, sao lại không thấy vấn đề về PDD nhỉ?  (Giỡn thôi!)"
What day is Eid Al-Fitr if you may know?,Nếu biết thì ngày lễ Eid Al-Fitr là ngày nào vậy?
great no limit,Vô hạn tuyệt vời.
back thinking looking for money,Ngồi nghĩ mãi chuyện kiếm tiền.
"How can I do it, do you feel the same?","Mình làm sao đây, bạn cũng thấy thế à?"
V doesn't really die,V không thực sự chết.
"It's really delicious in the morning, sweet martabak breakfast~",Martabak ngọt buổi sáng ngon tuyệt!
"My parents: ""Can netizens call the minister a hypocrite. I just like it""..Me being one of them: ' '„ðŸ'","Bố mẹ tôi bảo: "" Dân mạng gọi bộ trưởng là đạo đức giả được đấy, tôi thấy thích!"", còn tôi, một trong số những dân mạng đó, thì chỉ biết cười trừ."
Me wa mimir,Mẹ đang ngủ.
It's true that you are strong humans who take static class A for 1 semester,Đúng là các bạn là những người mạnh mẽ khi học lớp A tĩnh suốt một học kỳ.
"I think turning off the alarm today will make life calm, eh you know ®â€ '¨",Tắt chuông báo thức hôm nay cho cuộc sống yên tĩnh hơn nhỉ?
It's that hard to gain weight,Tăng cân khó thế cơ à.
Losing weight because of stress is normal. But have you ever gained weight because you are happy?,"Giảm cân vì stress là chuyện bình thường, nhưng bạn đã bao giờ tăng cân vì hạnh phúc chưa?"
why sleepy :(,Sao lại buồn ngủ thế :(
"I'm kdrik x interested in layer cake. K brik ngn my brothers work far & study time yes. It's best if you feel it when the dk compliment it, it's diplh, it's comfortable","Tôi chẳng thích bánh nhiều tầng chút nào, anh em tôi làm xa và học hành bận rộn lắm.  Tốt nhất là bạn nên tự cảm nhận khi người khác khen nó, nó cầu kỳ, nhưng lại thoải mái."
KB injection in the ass right? how come it's in the bot and even in the hands? the midwife's rp isn't right,"Tiêm KB vào mông chứ nhỉ, sao lại tiêm vào mông và cả tay nữa?  Hành động của nữ hộ sinh không đúng."
I'm really happy that 7 dreams can be a million seller you guys are great!!,"Mình vui lắm vì 7 Dreams đã bán được triệu bản, các bạn tuyệt vời!"
help rt pinned me,Giúp mình retweet bài đăng được ghim nhé!
"I'm confused, Liuyu, aren't you dizzy from yesterday's plane ride","Liuyu, tớ thấy rối bời quá, hôm qua bay máy bay cậu không chóng mặt à?"
seven minute lecture,Bài giảng bảy phút.
Let's practice hero hehe,"Thử làm anh hùng xem nào, hehe."
"btw, does the vaccine cancel fasting? I have a vaccine schedule today","À này, tiêm vaccine có phá bỏ giờ ăn chay không nhỉ? Hôm nay mình có lịch tiêm rồi."
Every year the month of Ramadan does he like to look for the article why? Do you really get punished by Allah? #SavePalestine #SaveSheikhJarrah,Năm nào tháng Ramadan anh ấy cũng tìm bài báo hỏi tại sao bị Allah trừng phạt? #SavePalestine #SaveSheikhJarrah
". your heart is really soft. women are not to be hurt even if you raise your voice or pull your face, she will feel hurt. so take care of your woman's heart.","Anh/Em thật hiền lành, phụ nữ dễ tổn thương lắm, dù chỉ lớn tiếng hay cau mặt thôi cũng làm họ buồn rồi, nên hãy trân trọng người phụ nữ của mình nhé."
"Oops, I'm confused whether to join bukber or not","Ối, mình đang phân vân có nên đi ăn bukber không nữa!"
The spicy breakfast meal was a bad idea :((,Ăn sáng cay thế này hối hận quá!
"People who show off under the guise of worshiping captions, how do you do it, mentolo smack jane","Mấy người khoe mẽ trá hình sùng bái caption, làm kiểu gì vậy trời, mentolo smack jane!"
THE BEST DREAMIES,Tuyệt phẩm ngon nhất.
Towards Dating #AncaMenujuHalal,Hẹn hò hướng đến hôn nhân Hồi giáo.
Pabili nga bambam interpark nangungulila ²,Mua hộ mình bambam ở Interpark được không?  (Em/Tôi) đang nhớ lắm.
Want to stay at Peggy Gou's house,Muốn ở nhà Peggy Gou.
What the hell is so controlling tai,"Mẹ kiếp, cái gì mà kiểm soát chặt chẽ thế này!"
"Last night, I dreamed of rowing a boat from Pik to Ancol when it was a stormy night. Waking up very tired","Tối qua tôi mơ thấy mình chèo thuyền từ Pik đến Ancol giữa đêm bão tố, tỉnh dậy mệt lử."
"why is tiktok, it's turn like this instead fypðŸ¤¯","Sao TikTok lại thành ra thế này chứ, thay vì ""For You Page"" cơ mà!"
maybe at the end of May Pledis will announce the truth cb,Có lẽ cuối tháng Năm Pledis sẽ công bố sự thật về màn comeback.
"This is too satire, too bitter to accept.","Điều này mỉa mai và cay đắng quá, không thể chấp nhận nổi."
uhh! Anyone interested in joining the Telegram group? special chi,Ui! Có ai muốn tham gia nhóm Telegram không? Có quà đặc biệt nha!
get rid of us ng baseball bat jan eðŸ˜‚,"Dùng gậy bóng chày để xử chúng ta à, haha!"
"Just enjoy the process, fail to laugh, just be deceived into giving alms, you're still young, don't get carried away, you can get tired, don't give up.","cứ tận hưởng quá trình đi, vấp ngã thì cười cho qua, có bị lừa cho vài đồng cũng được, còn trẻ mà, đừng vội nản, mệt thì nghỉ chứ đừng bỏ cuộc."
ONAKA GA SUITA,Tôi đói quá!
"top, anyone wants to have a foster friend like me or not, sometimes the child is a bit naughty, m17 unh!","Có ai muốn nhận một người bạn nuôi như mình không nhỉ, đôi khi hơi nghịch ngợm một chút, mình 17 tuổi!"
Poor ronaldo et al wkwkw,Ronaldo tội nghiệp quá haha.
"After paying off Dreamies, lgsg dp album seventeen. Pledis knows that after Eid there is a lot of money '","Trả hết tiền Dreamies rồi, giờ mua album Seventeen thôi. Pledis biết là sau lễ Eid mọi người dư dả lắm."
good morning my children ™‹,Chào buổi sáng các con!
Wanzar and hijabistahub clothes brackets all sold,"Đồ Wanzar và hijabistahub, tất cả đã bán hết rồi."
early raya my classmate even if you are roger la,"Raya sớm nha bạn cùng lớp, dù cậu có là Roger đi chăng nữa."
"Uh! Would you like to see your Namjoon PC collection, please? I've always wanted to have a PC, but I never got it.",Ôi! Bạn có muốn xem bộ sưu tập máy tính cá nhân của Namjoon không? Mình luôn ao ước có một chiếc máy tính nhưng chưa bao giờ được.
"My simple wish list about BTOB who haven't crossed out yet, only met Seo Eunkwang. The others have been and met miraculously. Huhu come on Mr. Director we meet '™","Ước mơ nhỏ nhoi của mình về BTOB vẫn chưa thực hiện được, chỉ gặp được Seo Eunkwang thôi, mấy anh kia gặp thần kỳ lắm rồi. Huhu, mau mau gặp mặt đi nào, giám đốc ơi!"
"morning"" how are you doing?","Chào buổi sáng, dạo này bạn khỏe không?"
"eu, lo de jyp es joda?","Ôi, chuyện gì của JYP thế này?"
"Can my brother wfh be like:..I want to take a shower near the toilet and he told me to wait, I'm on this meeting for 5 min. Can't be noisy","Anh trai mình làm việc ở nhà mà kiểu: ""Tao muốn đi tắm gần cái toilet mà bảo tao đợi, tao đang họp 5 phút nữa, đừng làm ồn!""."
this is so kriyuuukkk this is my turtle,"Trời ơi, con rùa của mình đáng yêu quá!"
"It's already good, if you want to buy it, why don't you have an order","Tốt rồi đấy, muốn mua thì đặt hàng đi."
Cheol busy to it's been days I don't want to see. 2 days ago duk hehehehehe to the person who posted the kidult lyric lol,"Dạo này bận quá, mấy hôm nay chẳng muốn nhìn thấy gì cả. Hai hôm trước thấy ai đó đăng lời bài hát Kidult cười haha mãi."
teacher matmin I'm really good for God's sake huhu,"Thầy ơi thương em, em làm tốt lắm rồi mà, huhu."
"Morning everyone, today is my schedule for babysitting, my nephew is coming, I want to break the taste","Chào mọi người, hôm nay mình trông cháu, thằng cháu mình đến chơi, mình muốn làm gì đó ngon ngon."
"Ping! let's be mutual, just rt. jfb y!!â '™","Ùng! Kết bạn đi, chỉ cần retweet thôi, yêu bạn lắm!"
Peter Pan â,"Ôi, Peter Pan!"
"how come on holiday, I even go to school offline",Sao kì nghỉ mà tôi còn phải đi học trực tiếp thế này?
So proud of dreamies ©ðŸ˜ they must be very happy,"Tự hào ghê về các Dreamies, chắc các bé vui lắm!"
ywa ka bipolar ba nimo oyy,Bạn bị rối loạn lưỡng cực à?
it's easy to make it viral,"Dễ mà, cho nó viral ngay thôi."
"yuuhi no oyama ni, keep it up momiji","Chiều tà trên núi cao, mẹ gắng lên nhé."
Dizziness™ƒ,Choáng váng.
gm tl,"Chào buổi sáng, tớ nghe đây."
Is it stupid that it's been 2 hours and a half in the train.. still not getting to the office because the jammed road wants to go home haihhh,"Hai tiếng rưỡi trên tàu mà vẫn chưa tới văn phòng vì kẹt xe kinh khủng, muốn về nhà quá đi!"
spa maw kiss,Mẹ hôn nhẹ.
"It's been a long time since I heard ""do you panic? Don't you panic? Is it okay to panic?"" and whatever words are made up like gt'","Lâu lắm rồi mình mới nghe thấy câu ""Cậu có hoảng không? Đừng hoảng nhé! Hoảng có sao không?"" và đủ thứ lời lẽ bịa đặt kiểu ""gt"" ấy."
Cirilo,Cirilo.
I want to move on from you but it's hard :(,Em muốn quên anh nhưng khó quá :((
"Always off soq tk tk sleep already, today kawkaw he sleeps awake wakes up at 10 o'clock. Amboiii hng naa!!","Trời ơi, suốt ngày cứ ngủ gà ngủ gật, hôm nay cậu ta ngủ dậy lúc mười giờ cơ đấy!  Trời đất ơi!"
Cheese cheese and hand e,Phô mai phô mai và tay em.
"Hey man, my twitter is really weird","Này bạn, Twitter của mình bị lỗi quái gì ấy!"
My throat is dry oh my god,"Ôi trời ơi, cổ họng khô khát quá!"
a jheni asked how kkkkkkkkkkkk amoh,Một Jheni hỏi sao lại cười nhiều thế.
"Don't even ask for pape, just throw away this feeling","Đừng hòng xin xỏ, cứ vứt bỏ cảm giác này đi."
"Undip Menfess hasn't sent the scale, bro?",Chưa thấy Undip Menfess gửi cái cân à bạn?
"Kk PrillyBie say hello donk,,,,,,,,,,,,,,,,,,,,,, please don't be too long,,,:(.#ngarep","PrillyBie ơi, chào nha… làm ơn đừng lâu quá… :(  Mình đang chờ đấy!"
It's sooo cold. Runny nose sneezing won't stop please please. Cook it in the sun,"Trời lạnh quá, sổ mũi hắt xì không ngừng được, làm ơn, làm ơn, phơi nắng đi!"
"I'm also confused, honestly, I feel sorry for my own mother, but when I deliver, it's a habit to tell me to go away from the burden of the family who can only watch 24/7","Thật ra tôi cũng rối bời, thương mẹ lắm, nhưng cứ mỗi lần tôi sinh nở là lại bị đuổi đi, bảo tránh xa gánh nặng gia đình, cứ như tôi chỉ biết ngồi nhìn mọi việc suốt ngày đêm vậy."
jyp se murio? Ayuda,JYP mất rồi à? Cứu với!
The universe knows how hard I try to get you :),Vũ trụ biết tôi đã cố gắng thế nào để có được em :)
Ma Ma Ma Ma Mafia huh?,"Má ơi, Mafia hả?"
"dude! Can't move on from shadow and bone, please suggest a movie/series that looks like shadow and bone","Ê, xem xong Sắc Mây & Xương mà không dứt ra được, mách mình phim/series nào tương tự đi!"
Vitamin C deficiency,Thiếu vitamin C
"Dates mellow, want to cry, feelings are not clear. Usually girl. Alhamdulillah, thank you.","Chuyện tình cảm mập mờ, khó hiểu, cứ như sắp khóc vậy, hình như là con gái.  Cảm ơn Chúa."
"I did enter UIA, just took the subject of UNGS, eee already uni req course, oh my god there are already many ungs","Ôi trời ơi, mình đã vào được UIA rồi, chỉ học môn UNGS thôi mà, môn bắt buộc của đại học ấy, nhiều UNGS quá!"
a dream if you dream it won't happen sad :((,"Mơ ước mà không làm thì sẽ không thành hiện thực, buồn quá :("
Are you proud to be a dreamzen? I'm very proud,Cậu có tự hào khi là một Dreamzen không? Tớ thì rất tự hào.
Rachel_JKT48 when your face is white sweet like #Gulla,Mặt Rachel_JKT48 trắng trẻo ngọt ngào như kẹo Gulla.
"what's wrong with political science to the point where it's really banned...wwwwwwwwwwwwwwwwwwwwwwww, strict parents don't have any opponents","Chuyện gì đang xảy ra với khoa học chính trị mà nó bị cấm tiệt đến thế… trời đất ơi, bố mẹ nghiêm khắc thì không có ai phản đối được."
"dk! Kmrn who bought SG21 NCT, how much is the cargo tax?","Trời ơi! Hôm qua ai mua SG21 NCT, thuế nhập khẩu bao nhiêu vậy?"
"I don't know if you stay still and then check your own fleet, you will definitely smile like an orgil »â€ â™€ï¸","Không biết nếu cậu cứ yên lặng xem đội của mình, cậu sẽ cười tươi như nở hoa không đấy!"
Make it difficult to sit down if you want to be ready eh,Muốn sẵn sàng thì cứ ngồi cho khó vào nhé.
"I don't think it's the 10th, OMG YOU HAVE TO SIMULATE FIRST TO SEE JENO LEE AND HER TROOPS WICKING ±","Tớ không nghĩ hôm nay là mùng 10, trời ơi cậu phải mô phỏng trước đã để xem Jeno Lee và quân đội của cô ấy hành động!"
"last year, make 5 cakes for raya, have a lot of enthusiasm. this year just show it. i iz sad â","Năm ngoái háo hức làm năm chiếc bánh Raya, năm nay chỉ trưng bày thôi, buồn quá!"
"I can't understand how stupid they are? The feeling of ghozwah stories, even the first crusade, no one attacked when others were worshiping","Tôi không hiểu sao họ lại ngu ngốc đến thế? Cảm giác như chuyện kể trong những câu chuyện ghozwah, ngay cả cuộc thập tự chinh đầu tiên, chẳng ai tấn công khi người khác đang thờ phượng cả."
/ae/ Is Myne ready to be the highest viewers of mv aespa again or not? ️,MV của aespa liệu có lại đạt lượt xem cao nhất không?
Yoongi te amo,"Yoongi, em yêu anh."
there's nothing pretty,Chẳng có gì đẹp cả.
