Context_translated,Response_translated,
"Tôi đã làm quen với người bạn thân nhất của tôi, người đã kết hôn nhưng đã không hạnh phúc trong 5 năm qua chúng tôi đã yêu nhau và đã yêu nhau trong 8 tháng anh ấy rời khỏi nhà và ly hôn anh ấy quyết định nói với cô ấy về mối quan hệ của chúng tôi và cô ấy sẵn sàng để tha thứ và làm việc này khiến anh ấy đồng ý họ có hai đứa con và anh ấy quyết định ly hôn anh ấy đã quyết định ly hôn anh ấy rời thị trấn một tháng để có thể giải quyết tình hình và gặp một bác sĩ",Tôi tin rằng khả năng bảo vệ mối quan hệ của chúng ta ở đây không đủ nhanh để chúng ta có thể đối mặt với những thay đổi lớn lao của cuộc sống.,
"Tớ đã hẹn hò với bạn trai cả tháng trời, và bọn tớ muốn có con. và bọn tớ chưa nói chuyện với bố mẹ.","Chào buổi sáng, khi một thiếu niên muốn có em bé, nó thường dành cho một điều cụ thể, và không khỏe mạnh lý do. bạn có hy vọng rằng một em bé sẽ gắn kết mối quan hệ của bạn không? nó không hoạt động theo cách đó. bạn có mong muốn một người sẽ yêu bạn không? không cho chúng tôi, chúng tôi cho chúng tôi, chúng tôi đưa cho họ. tôi muốn nói chuyện với một người bạn tin tưởng tại sao bạn muốn tăng tốc độ cuộc sống của bạn bởi cha mẹ của bạn trước khi bạn lớn lên cảm xúc. mối quan hệ đó là một tháng không đủ ổn định để cung cấp cho một sự thay đổi như thế này bạn chỉ có bạn biết và tôi mong muốn bạn sẽ nói chuyện với một ai đó tốt và tôi mong rằng bạn sẽ nói chuyện tốt với một người nào đó tốt và bạn sẽ nói tốt hơn bạn tốt hơn bạn có một người nào đó bạn có một mối quan hệ tình cảm đầy đủ. một mối quan hệ của bạn đã trưởng thành một tháng đó là một mối quan hệ của bạn là một tháng đó là một mối quan hệ của bạn là một mối quan hệ của bạn là không đủ để một người lớn một tháng một mối quan hệ một mối quan hệ của bạn là không đủ để có đủ sức mạnh để có một mối quan hệ một mối quan hệ một mối quan hệ một mối quan hệ một mối quan hệ một mối quan hệ một mối quan hệ một tháng đó là không đủ để có đủ để có một mối quan hệ một mối quan hệ một mối quan hệ một mối quan hệ một mối quan hệ một mối quan hệ một mối quan hệ một mối quan hệ một mối quan hệ một mối quan hệ một mối quan hệ bạn không đủ sức mạnh để có đủ để có đủ để giúp bạn không đủ để giúp bạn không đủ để giúp bạn không đủ để có đủ để có một mối quan hệ một mối quan hệ một mối quan hệ một mối quan hệ một mối quan hệ như thế này bạn không đủ để có một mối quan hệ như thế này bạn không đủ để có đủ tốt như thế này bạn không đủ tốt như thế này bạn không đủ để có một mối quan hệ một mối quan hệ một mối quan hệ bạn không đủ để có một mối quan hệ như thế này bạn không đủ để có đủ để có một mối quan hệ như thế này bạn không đủ để có một mối quan hệ bạn chỉ có một mối quan hệ bạn chỉ có một người bạn có một người khác bạn có một người bạn có một mối quan hệ",
"Chúng tôi bắt đầu hôn nhau, nhưng sau đó, anh ấy nói rằng chúng tôi nên kết bạn vì anh ấy không muốn làm hỏng bất cứ thứ gì. và tôi không biết liệu anh ấy có bao giờ muốn làm bạn nhiều hơn không.","Cho rằng cả bạn và bạn bè gần đây kết thúc mối quan hệ lãng mạn của bạn, hôn nhân của bạn có vẻ như mỗi người bạn hài lòng với một nhu cầu tự nhiên mà ngay bây giờ không có một nguồn tự nhiên của sự thỏa mãn. Đối với bạn và bạn bè của bạn gần đây kết thúc không có khó khăn bởi vì một mối quan hệ với nhiều và cung cấp cho một mối quan hệ của một người. Hãy tập trung vào những gì bạn biết về bản thân, đó là bạn không sẵn sàng cho một mối quan hệ khác. Những gì bạn mô tả về bạn bè của bạn, tương tự, ông không cảm thấy sẵn sàng cho một mối quan hệ mới. Nếu bạn cảm thấy một mối quan hệ mới và bạn đã sẵn sàng để bắt đầu một mối quan hệ mới, sau đó bạn sẽ tìm thấy một vị trí hấp dẫn, một mối quan hệ tốt, hoặc một mối quan hệ của bạn bè của bạn bè của bạn, hoặc một mối quan hệ mới của bạn, tương quan hệ của bạn sẽ nhận được một mối quan hệ của bạn bè của bạn, hoặc một mối quan hệ tốt nhất của bạn có thể và một mối quan hệ tốt nhất của bạn sẽ nhận được một mối quan hệ mới của bạn, hoặc một mối quan hệ của bạn sẽ nhận được một mối quan hệ của bạn, hoặc một mối quan hệ của bạn, hoặc là tốt nhất của bạn sẽ nhận được một mối quan hệ của bạn bè mới của bạn, hoặc là tốt nhất của bạn bè mới của bạn sẽ nhận được một mối quan hệ của bạn.",
"Bạn tôi dường như luôn cảm thấy chán nản vì những đứa con của anh ấy phải xem xét và trải qua quá trình ly hôn, đặc biệt là khi mẹ của con anh ấy cứ khiến anh ấy cảm thấy tồi tệ và dùng những đứa trẻ như một cái cớ để trả đũa anh ấy.","Anh biết đấy, tôi đã gặp rất nhiều người bệnh hoạn mà vợ cũ của họ đưa họ vào quá trình ly hôn mà họ không biết là tốt nhất nên quay trở lại. anh ta không thể làm điều đó.",
"Bạn gái tôi chia tay với tôi cách đây 5 tháng vì tôi đã nói những điều tồi tệ với cô ấy một đêm mà không vì lý do gì của cô ấy, tôi đã cố gắng đưa cô ấy trở lại, nhưng không hề dễ dàng. cô ấy ở tuổi 50 và tôi 40. cô ấy là người mà tôi muốn cho cuộc sống của tôi, và đây là điều tôi muốn, mỗi ngày, tôi khóc, và tôi tuyệt vọng được giúp đỡ.","New York, nếu anh có lại cô ấy thì có ý nghĩa gì? đó là cách duy nhất để anh có thể tha thứ cho bản thân... nếu cô ấy tha thứ cho anh và đưa anh trở lại? lòng tôn trọng của anh không cần phải dựa vào việc làm việc này với cô ấy. và mỗi ngày anh từ chối tôn trọng cô ấy là ngày anh làm tổn thương cô ấy một lần nữa. và tiếp tục sống và, với sự giúp đỡ của một bác sĩ.",
"Tôi là một người phụ nữ ở trường trung học, và câu hỏi này là cho người bạn trai tốt nhất của tôi. ở đầu của năm nhất, chúng tôi đã định cho khoảng một tuần trước khi cha mẹ của mình kết thúc nó bởi vì họ nói rằng ông là quá trẻ để hẹn hò. và câu hỏi này là cho một cô gái rất ngọt ngào cho một hoặc hai tháng. làm thế nào tôi không có gì chống lại cô ấy ngoại trừ thực tế rằng cô ấy đã có trái tim. ông tin rằng họ đang ở trong tình yêu và có lẽ họ không thực sự không tin anh ta có sự lo lắng về những gì sẽ xảy ra khi cuối năm học này ông đã giúp đỡ anh ta và tôi thực sự muốn anh ta biết làm thế nào để anh ta có vẻ như thế nào để anh ta có thể làm điều tốt hơn và tôi muốn anh ta nghĩ về một người đàn ông có thể làm tốt hơn tôi nghĩ rằng anh ta có thể nghĩ về một người đàn ông có thể làm tốt hơn và tôi muốn anh ta nghĩ rằng anh ta có một người đàn ông có thể làm tốt hơn tôi nghĩ rằng anh ta có thể nghĩ rằng anh ta có thể làm điều gì để giúp đỡ anh ta có thể làm cho anh ta nghĩ rằng anh ta nghĩ rằng anh ta có những gì để anh ta có một điều tốt hơn tôi nghĩ rằng anh ta nghĩ rằng anh ta nghĩ rằng anh ta có thể làm thế nào để anh ta nghĩ rằng anh ta có thể làm tốt hơn anh ta có những gì để anh ta có một người phụ nữ và tôi nghĩ rằng anh ta nghĩ rằng anh ta có những gì để giúp anh ta có một điều tốt hơn anh ta nghĩ rằng anh ta nghĩ rằng anh ta nghĩ rằng anh ta có một trong tình yêu anh ta và tôi có một trong tình yêu anh ta có một trong một trong tình yêu anh ta có một trong tình yêu anh ta và tôi và tôi có một trong khi cô ấy và tôi nghĩ rằng điều tốt hơn và tôi có thể làm tốt hơn anh ta nghĩ rằng anh ta có thể làm tốt hơn anh ta có thể làm cho anh ta và tôi nghĩ rằng anh ta nghĩ rằng anh ta nghĩ rằng anh ta và anh ta và tôi nghĩ rằng anh ta nghĩ rằng anh ta và anh ta có những gì để anh ta có một trong tình yêu anh ta nghĩ rằng anh ta nghĩ rằng anh ta nghĩ rằng anh ta nghĩ rằng anh ta nghĩ rằng anh ta nghĩ rằng anh ta nghĩ rằng anh ta nghĩ rằng anh ta nghĩ rằng anh ta nghĩ rằng anh ta nghĩ rằng anh","Trước tiên, tôi nghĩ rằng điều tốt nhất bạn có thể làm là cho anh ta biết rằng bạn đang ở đó cho anh ta nếu anh ta muốn nói chuyện về mọi thứ. bạn cũng có thể giúp đỡ bởi những lựa chọn mà anh ta có và giúp anh ta đưa ra những quyết định và quyết định của anh ta. nhưng cuối cùng anh ta phải quyết định những gì cần làm. rằng bạn sẽ không thể chữa lành nỗi đau anh ta cảm thấy đau khi anh ta rời bỏ bạn gái của mình nhưng bạn có thể là bạn bè của anh ta chỉ đơn giản lắng nghe cảm thông của anh ta, và hiểu biết của anh ta và giúp anh ta mà không cần phải quan tâm đến anh ta nếu bạn không có sự quan tâm của bạn có thể làm điều đó.",
"Vào tháng 8 năm ngoái, tôi gặp lại anh này hơn một năm, anh ấy yêu cầu chúng tôi lùi lại bây giờ. từ lúc đó, anh ấy vẫn tiếp tục liên lạc với tôi mỗi ngày. chúng tôi dành thời gian bên nhau trong những ngày nghỉ, nhưng rồi tôi đã đi dự những năm mới với gia đình.","Nó có vẻ như có một chút nhầm lẫn về cách bạn cảm thấy về nhau. bạn có biết những loại mối quan hệ bạn muốn với anh ta? một tình bạn chỉ, định kỳ, hoặc một mối quan hệ độc quyền? tôi sẽ khuyến khích bạn đầu tiên tìm hiểu rằng ra và sau đó liên lạc với anh ta làm thế nào bạn đang cảm thấy. yêu cầu anh ta thành thật với bạn như thế nào ông cảm thấy và những gì ông muốn từ mối quan hệ của bạn như tốt. được chuẩn bị cho một loạt các câu trả lời từ anh ta để không có sự ngạc nhiên lớn.",
Chúng tôi vừa chia tay một lần nữa vào đêm giao thừa năm mới. nhưng dường như cô ấy thật sự có giá trị từ một người đàn ông. cô ấy luôn nói với tôi rằng cô ấy xứng đáng với điều này và người đàn ông đó từ một người đàn ông đó.,"Tình yêu là không đủ để giữ một mối quan hệ với nhau. người dân cần phải có được cùng nhau hạnh phúc quá. Hãy bắt đầu với biết thêm về hạnh phúc của bạn trong là bạn đồng nghiệp. Các phá vỡ thường xuyên xảy ra cho một lý do. Hãy cố gắng hiểu biết nhiều hơn lý do tại sao bạn đi trở lại với nhau một lần nữa. Bạn tình trạng một vài lý do rất rõ ràng để không tiếp tục mối quan hệ này, như là ""gia đình như thế"" và không phải rằng bạn tình bạn gái của bạn sẽ cảm thấy sợ hãi để rời bỏ cô ấy. trực giác của bạn nói với bạn rằng những cảm giác này.",
"Tôi chia tay với anh ấy 3 tuần trước vì tôi cảm thấy anh ấy cần phải biết tôn trọng hơn anh ấy đã có quan hệ rồi anh ấy nói anh ấy yêu và nhớ tôi nhưng anh ấy nói rằng sẽ rất khó khăn để gặp tôi mỗi lần chúng tôi nói chuyện, tôi cảm thấy tôi muốn gặp anh ấy anh ấy anh ấy rất tức giận trong tình yêu với tôi nhưng bây giờ anh ấy dường như không thể quan tâm tôi nghĩ tôi đang chạy trốn anh ấy tôi nghĩ tôi đang chạy trốn anh ấy","Chào Kansas, tôi nghĩ rằng bản năng đầu tiên của bạn là tốt, bạn đã chia tay với anh ta. bạn đã chia tay với anh ta. bạn xứng đáng với sự tôn trọng, nhưng ngay bây giờ bạn đang không hành động như thể bạn xứng đáng với nó khi bạn bắt buộc để nhìn thấy anh ta như anh ta đang di chuyển với một mối quan hệ mới. nó là thích hợp bây giờ để bạn tôn trọng mối quan hệ đó và lắng nghe những gì anh ta muốn, đó là không gian. bạn có nghĩ rằng anh ta sẽ không khác với cô? điều này phổ biến, chúng tôi sợ rằng tôi có. tôi có thể tự hỏi nếu bạn bỏ lỡ cảm giác của tình yêu trong tình yêu và có nhiều hơn bạn yêu hơn anh ta. những người bạn không thể làm cho bạn tình yêu của bạn và bạn có thể làm cho một ai đó, bởi vì bạn đã làm cho một người nào đó và bạn làm cho tương lai của bạn, và với tất cả những người khác hy vọng rằng họ sẽ làm cho bạn và với tất cả những người khác và những gì họ đang làm cho bạn có sự lựa chọn và những người khác và những gì họ đang làm cho bạn có những người khác và những người đó.",
"Tôi là một trinh nữ 20 tuổi, và bạn trai tôi đang ở độ tuổi 20 và bạn trai tôi đang ở tuổi 20 của mình với trẻ em. anh ấy đã lừa dối tôi hai lần: một lần vào lúc đầu và bốn tháng trước. anh ấy đã không sử dụng để hẹn hò với một trinh nữ và chia tay với tôi ba lần bởi vì anh ấy không chắc chắn. cả hai chúng tôi đều làm việc cùng nhau (ở nơi chúng tôi đã gặp nhau) và nó là của cô gái làm việc cùng chúng tôi. tôi đã cố gắng để vượt qua nó, nhưng bây giờ tôi tự tin rằng bản thân tôi đang buồn, và đôi khi anh ấy cảm thấy rằng anh ấy không muốn làm thế nữa nhưng anh ấy lại nghĩ về tôi khi anh ấy nói với tôi, anh ấy nói về tình cảm của mình vì anh ấy đã nói với cô ấy và anh ấy đã nói về tình cảm của mình vì anh ấy đã dành thời gian cho cô ấy, vì anh ấy đã nói về tình cảm của mình vì anh ấy và vì anh ấy đã nói với cô ấy, anh ấy đã nói với cô ấy đã rất tuyệt với cô ấy, vì anh ấy đã nói với anh ấy cũng như thế, nhưng anh ấy đã nói với anh ấy có một ngày cuối cùng với anh ấy, nhưng anh ấy, nhưng anh ấy có một người phụ nữ và anh ấy có một cảm xúc động và anh ấy đã rất tuyệt với anh ấy có cảm xúc động bởi vì anh ấy cũng như thế.","Xin lỗi để nghe về tất cả sự căng thẳng trong mối quan hệ. Bạn đang trên vị trí của mình theo đúng theo cách thức của bạn biết và gắn bó với các tiêu chuẩn của chính bạn có thể có được hành vi của bạn đồng nghiệp. Vì vậy, ông là một trong những người phá vỡ lòng tin của bạn, ông là một trong vị trí của đạt lại niềm tin của bạn. điều này luôn luôn là một công thức cơ bản cho các điều trị của một cặp vợ chồng mà đã có. bên trong bản thân bạn có muốn được với bạn trai của bạn và những gì bạn muốn anh ta làm như vậy để bắt đầu cảm thấy an toàn hơn trong mối quan hệ. sau đó, sau đó, sau đó bạn biết về mối quan hệ của bạn tình yêu của bạn sẽ nhận được một số người có thể nhận được một số thông tin tưởng về một số chi tiết, có thể sẽ nhận được một số thông tin tưởng về một số thông tin của bạn có thể sẽ có ý nghĩa.",
Tôi cảm thấy bất lực và tội lỗi. và tôi muốn làm cho người phụ nữ của tôi hạnh phúc trở lại.,"Nó hoàn toàn dễ hiểu rằng bạn muốn tìm một cách để làm cho những suy nghĩ vô cảm này đi đi, tuy nhiên, cảm giác của bạn rằng bạn không thể kiểm soát được những suy nghĩ này là chính xác. nó cũng có thể hiểu được rằng bạn sẽ cảm thấy và có tội, mà bạn thấy làm thế nào những suy nghĩ này đang ảnh hưởng đến mối quan hệ của bạn, mặc dù tôi sẽ khuyến khích bạn đi một cách dễ dàng trên chính mình và nhớ rằng bạn không thể kiểm soát được những suy nghĩ này. tôi chắc chắn rằng nếu có một sự thay đổi để chuyển đổi chúng, bạn sẽ lật ngược nó. không có gì là ma thuật có thể đảm bảo rằng những suy nghĩ này sẽ đi xa, tuy nhiên bạn vẫn còn có thể có rất nhiều khả năng làm việc với một sự hiểu biết và cũng có thể sẽ không có khả năng để có một kết quả của bạn có thể làm việc với những suy nghĩ của bạn và không có khả năng để có một sự hiểu biết thêm về nó và bạn có thể có thể nhận thức được một kết quả của bạn có thể sẽ có một kết quả của một kết quả của một sự hiểu biết thêm về những suy nghĩ đó và bạn có thể sẽ không có khả năng để làm việc làm và bạn có thể đi với những suy nghĩ của bạn.",
"Bạn trai tôi chuyển đến ở với tôi vài tháng trước, tôi yêu anh ấy nhưng con chó của anh ấy đang phá nhà tôi. nhưng con chó của anh ấy sẽ có thức ăn và. mặc dù tôi về nhà tất cả các buổi giải lao của tôi để đưa anh ấy đi, anh ấy vẫn đái và nước tiểu trong nhà mọi cơ hội. tôi không thể có con chó của tôi. tôi đã cố gắng để có được con chó của tôi. tôi đã cố gắng để có được một con chó của tôi và nó không bao giờ kết thúc ở bất cứ nơi nào mà tôi muốn nó không phải là một con chó của bạn trai của tôi, nó không phải là một con chó của bạn trai của tôi, nó không phải là một con chó của bạn trai của tôi, nó không phải là một con chó của bạn trai của tôi, nhưng nó không phải là một con chó của tôi muốn nó không phải là một con chó của tôi và nó không phải là một con chó của một con chó của bạn trai của tôi, nó không phải là một con chó của tôi muốn nó không phải là một con chó của tôi không phải là một con chó của một con chó của bạn trai của bạn trai của bạn trai của tôi và nó không phải là một con chó của bạn trai của bạn trai của tôi và nó không phải là một con chó của bạn trai của tôi không phải là một con chó của một con chó của bạn trai của một con chó của bạn trai của bạn trai của bạn trai của bạn trai của bạn trai của bạn trai của bạn trai của tôi nhưng nó vì nó không phải là một con chó của bạn trai của bạn trai của tôi và nó không phải là một con chó của một con chó của bạn trai của bạn trai của tôi và nó không phải là một con chó của bạn trai của bạn trai của tôi, nó không phải là một con chó của bạn trai của bạn trai của bạn trai của bạn trai của bạn trai của bạn trai của bạn trai của bạn trai của bạn trai của bạn trai của bạn trai của bạn trai của bạn trai của tôi, nó không phải là một con chó của bạn trai của tôi và nó không phải là một con chó của bạn trai của bạn trai của tôi và nó không phải là một con chó của bạn trai của bạn trai của bạn vì nó không phải là một con chó của bạn trai của bạn trai của bạn trai của bạn trai của bạn trai của bạn trai của bạn trai của bạn trai của bạn trai của bạn trai của bạn trai của tôi nó","Mỗi sinh vật cần thời gian và hỗ trợ để điều chỉnh một tình huống mới. con chó là ở một nơi mới mà không có khả năng hiểu lý do. điều này có thể giải thích những gì âm thanh như của con chó. có bạn nói chuyện với bạn với bạn trai của mình về cách giải quyết các vấn đề? một câu trả lời cùng nhau sẽ là một cách tốt để làm cho mối quan hệ của bạn. rất nhiều cặp vợ chồng sống chung với nhau đang nói chuyện, lắng nghe và cùng nhau về cách xử lý vấn đề lớn. nếu nó là, tất cả các hành vi của con chó có thể là tuyệt vời của con chó.",
"Tôi đã phải đi đến phòng cấp cứu ngày hôm nay để có được một tia X-quang của xương sống của tôi. bạn trai của tôi không muốn ngồi đó và chờ đợi với tôi. thay vào đó, ông muốn đi làm điều gì đó cho bạn bè của mình trong khi tôi chờ đợi. ông đã được thực hiện, ông đã muộn 20 phút trong tôi lên. ông không hiểu lý do tại sao tôi lại giận, và chúng tôi giữ ở với nhau trên những điều nhỏ nhất. ông nghĩ rằng tôi không có lý do để giận nhưng tôi tin rằng tôi tin rằng tôi.","Nó là vô ích khi những người khác không hiểu quan điểm của chúng tôi. thường xuyên, lập luận không phải là những cơ hội tốt nhất để cố gắng và thực hiện một điểm, như cảm xúc mạnh mẽ có thể đạt được trong cách hiểu về quan điểm của người khác. cố gắng có một cuộc thảo luận với anh ta về những gì đang khó khăn bạn trong một thời gian khi bạn cũng không khó chịu hoặc tranh luận. đối với làm thế nào bạn cảm thấy mà không có trách nhiệm và không có vấn đề. cộng thêm, cho anh ta những ý tưởng về những gì anh ta có thể làm khác biệt để anh ta hiểu những gì cuối cùng mong đợi của bạn.",
"Tôi đã phải đi đến phòng cấp cứu ngày hôm nay để có được một tia X-quang của xương sống của tôi. bạn trai của tôi không muốn ngồi đó và chờ đợi với tôi. thay vào đó, ông muốn đi làm điều gì đó cho bạn bè của mình trong khi tôi chờ đợi. ông đã được thực hiện, ông đã muộn 20 phút trong tôi lên. ông không hiểu lý do tại sao tôi lại giận, và chúng tôi giữ ở với nhau trên những điều nhỏ nhất. ông nghĩ rằng tôi không có lý do để giận nhưng tôi tin rằng tôi tin rằng tôi.","Xin chào, vì tất cả sự tức giận của bạn là rất nhiều đau đớn. tổn thương là bởi vì bạn đang bị mất tôn trọng. bạn thân (nếu bạn không chỉ nói với tôi một nhỏ, không tương xứng với một phần lớn của bức tranh lớn) không có xu hướng đối xử với bạn như bạn đang quan trọng và anh ta bác bỏ cảm xúc của bạn. điều này là xảy ra bởi vì điều này là khả năng của (không có?) ông có quyền ngay bây giờ trong một mối quan hệ. bạn có thể mong đợi này (vì ông là ai đó, nó không có gì để làm bạn, với bạn, và tôi nghĩ rằng nó là cẩn thận cho bạn có thể làm việc này. điều này có thể làm tổn thương.",
"Chồng chưa cưới của tôi không nghĩ là tôi tin anh ta bởi vì tôi đã bị lừa, nhưng anh ta giấu điện thoại và nhắn tin bạn gái cũ của anh ta, người mà anh ta có hai đứa con với anh ta tôi nên làm gì?","Oh Chino, tôi chỉ có một nửa bức tranh ở đây để tôi có thể được cảnh giác. có một con gà và một quả trứng, và tôi không biết những gì đã đến đầu tiên. một điều tôi thấy rõ ràng là bạn sẽ luôn luôn có liên lạc với vợ cũ của mình, bởi vì họ có con. bạn có thể chấp nhận điều đó? Khi sự nghi ngờ và trong tương lai, công việc của bạn là nhìn vào bức tranh lớn và bức ảnh thực sự. có bất cứ bằng chứng thực sự rằng anh ta đang lừa dối? rằng mạng của anh ta không phải là bằng chứng của mình nếu các con tin tưởng của bạn?",
Bạn gái lâu năm của tôi đang ở trong một hội nữ sinh và nó đang thay đổi cô ấy tôi cảm thấy như tôi trở nên ít quan trọng hơn với cô ấy và nó đau cô ấy chỉ muốn tôi ủng hộ cô ấy nhưng nó thật khó khăn tôi cố gắng mỗi ngày để cho cô ấy thấy cô ấy là điều quan trọng nhất đối với tôi nhưng cô ấy thậm chí không thể tỉnh táo trong một bữa tiệc cho tôi để tôi không lo lắng về việc cô ấy làm bất cứ điều gì xấu xa chúng tôi yêu nhau nhưng chúng tôi đang sống trong một cuộc sống khó khăn,"Bạn có thể đã có được làm nhiều điều có thể cho mối quan hệ của bạn. một trong số bạn là 50% của mối quan hệ.Is 50% mà GF của bạn để mối quan hệ của bạn, dựa trên sự hiểu biết tương tự về các vấn đề của cặp đôi, như bạn có? một nơi tốt cho hai người bạn để nói chuyện về những gì các vấn đề của bạn có là một cặp đôi. Cách này, mỗi người bạn sẽ có thể biết nếu bạn có tương tự và định nghĩa của các lý do của bạn với nhau.",
Tôi không bao giờ nghĩ rằng mình có thể làm điều gì đó điên rồ. nhưng giờ đây tôi không thể làm gì khác được với bạn gái của anh ta.,"Nếu bạn đang ở trong một mối quan hệ và bạn đang có những suy nghĩ mạnh mẽ về người khác, nó là quan trọng để chú ý đến điều đó. mặc dù bạn nói rằng bạn đang hạnh phúc, tôi sẽ đề nghị nhìn thực sự cẩn thận về mối quan hệ bạn có và cho dù bạn đang nhận được tất cả mọi thứ bạn cần. tôi có một kết nối vật chất với bạn đời của bạn rằng bạn không có với hiện tại của bạn? nó có thể là bạn trai của bạn trong nhiều lĩnh vực, nhưng rằng bạn chỉ cần không cảm thấy về một số lý do. rằng bạn đang có một yếu tố khá quan trọng để mất đi. nó có thể là hạnh phúc ngay cả khi bạn vẫn còn có một cái gì đó đặc biệt với bạn trai của bạn trai của bạn tình yêu của bạn ở nhiều lĩnh vực, nhưng rằng bạn chỉ cần cảm thấy về một số người bạn không có cảm thấy về anh ta và bạn trai của bạn tình yêu thực sự quan tâm đến điều đó, nếu bạn có những gì đó, bạn có thể suy nghĩ về một trong tương lai thực sự quan tâm của bạn có cảm nhận thấy rằng bạn có những gì đó và bạn có một số điều đó và bạn có thể làm bạn có một số của bạn có cảm thấy sự quan tâm đến bạn có cảm thấy sự quan tâm đến bạn có một số điều đó và bạn có một số liệu của bạn sẽ không có cảm thấy rằng bạn có cảm thấy rằng bạn có thể làm bạn có cảm thấy tốt hơn và bạn có một số điều đó và bạn có một số liệu của bạn có một trong tương lai của bạn có một số của bạn có một số của bạn có cảm thấy rằng bạn có cảm thấy tốt hơn và bạn có cảm thấy sự quan tâm đến bạn có một số của bạn có một số của bạn có một số liệu của bạn có một số của bạn có một số của bạn có cảm thấy sự quan trọng khá quan trọng của bạn có thể làm bạn có cảm thấy nó và bạn có cảm thấy rằng bạn có cảm thấy rằng bạn có thể làm bạn có cảm thấy rằng bạn có cảm thấy rằng bạn có thể làm bạn có một số điều đó và bạn có thể làm bạn có cảm thấy sự quan tâm của bạn có cảm thấy sự quan tâm của bạn có một trong tương lai của bạn có cảm thấy sự quan tâm của bạn có cảm thấy sự quan tâm của bạn có cảm thấy rằng bạn có một số điều đó và bạn có một số của bạn có cảm thấy tốt hơn và bạn có cảm thấy",
"Sau 25 năm, tôi yêu lần đầu tiên người đàn ông đó đã hành động một tuần và để lại cho tôi mà không nói lời tạm biệt. và tôi không thể chịu đựng nỗi đau này.","Nỗi đau. mất một người bạn yêu thương đau rất nhiều. chúng tôi tất cả các dài để được yêu thương và để có được kinh nghiệm đó và sau đó mất nó là khủng khiếp. mặc dù nó là dễ dàng để cảm thấy tức giận hoặc bắt đầu nghi ngờ bản thân mình trong những hoàn cảnh này, tôi sẽ khuyến khích bạn nhận ra sự đau đớn của những gì bạn đang trải nghiệm như là một dấu hiệu của bao nhiêu bạn yêu thương mối quan hệ và bao nhiêu bạn muốn thực hiện điều này xảy ra trong cuộc sống của bạn. khi chúng tôi đang trải qua loại mất mát này nó thực sự có ích cho sự hỗ trợ của bạn bè và gia đình. mặc dù không có một ai sẽ làm cho bạn có thể làm cho nó tốt hơn, chúng tôi không có được cô đơn của chúng tôi với sự thoải mái của chúng tôi.",
"Sau 25 năm, tôi yêu lần đầu tiên người đàn ông đó đã hành động một tuần và để lại cho tôi mà không nói lời tạm biệt. và tôi không thể chịu đựng nỗi đau này.","Tôi rất buồn vì đây là trải nghiệm đầu tiên của bạn (in 25 năm) với cảm giác trong tình yêu. bạn xứng đáng tốt hơn. sự hiểu biết của tôi về ngày hôm nay (con ngựa?) văn hóa xã hội là rằng nó là có thể ngăn chặn việc liên lạc với một ai đó bạn đã có, mà không có sự hiểu biết đầu tiên của bạn trong tình yêu. bạn nhận được nó tốt hơn mà không có người ngày hôm nay, vẫn còn những người đang sống với sự tôn trọng, nhưng người này không phải là một trong số họ. nếu tôi đang đọc nó đúng, bạn biết đây là một tuần này, trong tình yêu của tôi không có nhiều người nghèo và có nhiều mối quan hệ quá lâu.",
